Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2020,07,01,5487.61,5345.91,5288.44,5195.46,5138.46,5100.05,5118.79,5090.05,5180.19,5287.24,5490.02,5701.27,6088.2,6324.68,6574.52,6631.66,6511.31,6262.83,5983.05,5685.62,5486.12,5301.59,5223.36,5219.97,5233.6,5233.52,5353.38,5497.64,5601.29,5776.45,5957.74,6195.14,6414.65,6744.39,7058.31,7326.41,7320.79,7308.47,7214.07,7112.71,6985.71,6808.3,6593.67,6381.08,6257.55,6122.44,5870.99,
2020,07,02,5662.57,5466.14,5316.23,5237.12,5179.24,5131.33,5084.48,5060.69,5095.13,5159.78,5266.01,5497.01,5704.25,6082.67,6384.72,6607.33,6536.87,6436.76,6211.78,5996.63,5738.01,5465.49,5279.56,5158.54,5095.76,5121.98,5126.73,5221.51,5290.61,5374.82,5496.16,5737.31,5989.97,6234.75,6632.74,6950.89,7163.38,7172.73,7161.74,7060.17,7000.82,6916.02,6747.07,6547.08,6319.35,6197.02,6027.65,5830.62
2020,07,03,5618.98,5439.12,5256.9,5150.77,5071.36,5059.12,5035.96,5037.63,5058.73,5109.65,5245.05,5435.31,5629.1,5993.89,6272.69,6516.39,6504.54,6378.49,6132.28,5794.35,5460.66,5215.46,5068.38,4932.92,4864.15,4850.73,4923.8,4952.43,5092.43,5263.33,5447.85,5659.3,5879.12,6165.93,6487.63,6720.93,6921.01,6906.49,6930.91,6781.25,6715.5,6628.82,6458.24,6334.11,6176.01,6099.6,5950.9,5786.02
2020,07,04,5591.8,5393.17,5234.8,5120.58,5029.74,4997.38,4960.27,4947.25,4956.89,4992.84,5024.86,5145.93,5192.28,5372.41,5521.86,5681.14,5630.99,5566.35,5422.96,5190.67,4960.21,4704.03,4529.43,4402.6,4306.51,4281.82,4267.91,4306.91,4421.66,4551.33,4803.91,5074.19,5327.84,5734.75,6223.09,6584.47,6885.44,6929.51,6970.36,6832.18,6792.37,6757.39,6632.27,6481.86,6317.92,6293.1,6143.09,5945.93
2020,07,05,5745.44,5557.81,5424.34,5306.68,5235.48,5156.17,5104.03,5096.6,5054.63,5135.67,5171.51,5240.84,5358.06,5513.87,5689.39,5899.18,5954.87,5761.81,5703.12,5480.14,5221.88,4990.42,4752.11,4494.92,4409.55,4416.75,4369.28,4413.85,4510,4754.13,5042.61,5228,5528.37,5884.47,6351.75,6848.23,7186.36,7306.89,7313.13,7184.08,7143.56,7041.45,6895.86,6721.62,6485.83,6319.28,6119.09,5911.35
2020,07,06,5679.95,5539.51,5375.99,5263.3,5207.71,5151.75,5126.67,5118.34,5132.53,5221.38,5346.72,5582.74,5884.28,6289.75,6642.35,6954.33,6947.43,6473.53,6451.49,6145.62,5828.98,5549.59,5316.37,5159.59,5094.7,5026.18,4956.85,5009.77,5112.65,5265.24,5439.67,5661.36,5937.64,6257.38,6647.94,7070.8,7442.06,7524.09,7563.3,7385.34,7296.85,7181.78,6995.96,6834.72,6595.49,6412.05,6240.28,6010.7
2020,07,07,5788.98,5555.22,5402.21,5292.96,5218.17,5192.74,5140.8,5155.91,5166.54,5232.46,5369.65,5615.02,5888.74,6311.83,6635.14,7001.12,6916.43,6694.58,6410.76,6068.87,5687.48,5435.87,5211.4,5093.05,5030.64,4976.61,5031.67,5062.18,5158.22,5274.13,5443.2,5636.27,5889.7,6217.43,6643.71,7007.19,7321.68,7360.08,7383.61,7280.01,7170.11,7033.88,6852.13,6672.15,6490.16,6306.35,6129.5,5925.17
2020,07,08,5695.49,5515.44,5361.3,5201.64,5130.09,5072.75,5037.27,5028.89,5059,5125.53,5237.74,5504.34,5802.49,6189.77,6491.36,6776.43,6735.78,6540.33,6219.99,5905.3,5635.99,5451.04,5295.63,5154.77,5069,5071.84,5130.08,5206.1,5274.79,5383.8,5589.9,5752.39,5976.34,6325.34,6683.58,6971.52,7252.66,7300.55,7319.76,7173.26,7078.6,6955.31,6787.58,6592.5,6386.96,6232.85,6096.05,5880.45
2020,07,09,5671.5,5485.64,5326.45,5240.54,5192.69,5156.86,5086.2,5060.07,5110.21,5159.38,5226.41,5484.07,5676.97,5979.47,6273.74,6555.58,6654.23,6732.54,6614.6,6399.7,6256.27,6120.66,6072.89,5899.2,5841.1,5816,5808.4,5906,5959.77,6076.56,6182.68,6280.07,6429.71,6664.38,6947.52,7241.05,7470.56,7476.73,7483.69,7337.7,7249.79,7161.83,6998.47,6750.89,6525.5,6380.36,6198.06,5962.47
2020,07,10,5734.69,5541.31,5365.98,5269.79,5220.2,5171.28,5124.23,5164.71,5149.45,5230.06,5349.01,5480.02,5704.22,6020.41,6259.87,6528.46,6585.85,6481.23,6389.85,6169.72,6059.59,5920.36,5687.97,5634,5624.98,5602.37,5554.79,5452.74,5486.36,5535.49,5652.09,5865.88,6079.83,6276.3,6527.75,6771.9,7044.16,7016.19,7081,6964.13,6892.32,6837.05,6642.19,6476.77,6337.36,6194.01,6057.09,5905.5
2020,07,11,5662.45,5459.75,5323.22,5219.57,5132.31,5066.57,5029.45,5008.56,4999.82,5027.1,5056.3,5153.01,5209.06,5362.67,5532.66,5692.44,5782.6,5806.52,5716.44,5451.34,5173.13,4975.6,4765.74,4720.36,4756.64,4768.07,4869.38,4906.62,4974.33,5059.85,5194.91,5404.61,5577.79,5867.86,6247.3,6460.19,6696.54,6692.82,6692.92,6534.47,6468.46,6385.38,6231.36,6159.62,6043.99,6036.55,5901.31,5724.81
2020,07,12,5549.46,5393.08,5245.08,5153.77,5024.58,4992.37,4942.4,4952.69,4937.32,4954.69,4999.8,5065.82,5115.05,5237.16,5307.95,5472.1,5442.59,5465.58,5355.67,5265.97,5195.27,5083.15,5002,5024.29,5100.27,5223.67,5357.28,5492.47,5596.68,5731.63,5837.42,5918.81,6086.27,6323.56,6596.99,6943.24,7021.05,7055.96,7031.68,6855.29,6739.34,6639.61,6501.2,6369.15,6190.8,6033.29,5888.15,5699.65
2020,07,13,5503.16,5324.85,5246.06,5176.37,5044.28,5028.26,4970.45,4982.42,5016.52,5095.07,5171.8,5361.76,5582.29,5990.04,6341.61,6692.77,6864.63,6758.49,6601.07,6383.76,6253.82,5937.22,5548.02,5360.07,5146.24,5169.21,5241.63,5194.21,5198.36,5311.68,5507.45,5670.81,5995.06,6309.47,6687.61,7089.69,7456.82,7573.13,7604.85,7448.16,7379,7248.35,7061.21,6885.49,6634.48,6500.96,6321.81,6053.71
2020,07,14,5769.61,5574.5,5431.79,5306.46,5225.62,5200.73,5159.16,5200.22,5234.52,5273.41,5432.52,5695.69,6018.04,6549.02,7020.59,7342.16,7248.07,6900.87,6466.38,6106.46,5755.96,5478.04,5309.69,5178.01,5067.6,5008.83,5020.74,5062.44,5169.18,5293.72,5470.73,5714.13,6070.66,6470.53,6987.84,7482.14,7868.99,8066.68,8148.44,7986.91,7872.72,7723.33,7508.38,7292.43,7009.59,6772.41,6533.28,6237.78
